source,target,value
"inj_mech_other","Fracture of radius or ulna",8.412302
"inj_trans_road_2wheel","Fracture of radius or ulna",9.438124
"inj_drowning","Fracture of radius or ulna",.1704246
"inj_homicide_gun","Fracture of radius or ulna",.1259681
"inj_homicide_knife","Fracture of radius or ulna",.0861017
"inj_othunintent","Fracture of radius or ulna",30.72165
"inj_animal_nonven","Fracture of radius or ulna",.3731244
"inj_trans_road_other","Fracture of radius or ulna",2.668021
"inj_falls","Fracture of radius or ulna",91.59165
"inj_trans_road_pedal","Fracture of radius or ulna",29.66345
"inj_suicide","Fracture of radius or ulna",.1783019
"inj_trans_other","Fracture of radius or ulna",10.94514
"inj_fires","Fracture of radius or ulna",1.825869
"inj_trans_road_pedest","Fracture of radius or ulna",11.40559
"inj_foreign_eye","Fracture of radius or ulna",.0126219
"inj_foreign_other","Fracture of radius or ulna",.1950619
"inj_mech_suffocate","Fracture of radius or ulna",.8625697
"inj_poisoning","Fracture of radius or ulna",.2145956
"inj_trans_road_pedal","Fracture of skull",2.227886
"inj_suicide","Fracture of skull",.0111255
"inj_foreign_aspiration","Fracture of skull",.0121276
"inj_homicide_other","Fracture of skull",.7614063
"inj_trans_road_2wheel","Fracture of skull",2.858271
"inj_othunintent","Fracture of skull",4.691562
"inj_animal_venom","Fracture of skull",.0192478
"inj_trans_road_4wheel","Fracture of skull",12.43628
"inj_trans_other","Fracture of skull",6.939896
"inj_falls","Fracture of skull",17.846
"inj_poisoning","Fracture of skull",.0168389
"inj_homicide_knife","Fracture of skull",.0965307
"inj_homicide_gun","Fracture of skull",.1236221
"inj_mech_suffocate","Fracture of skull",.4730421
"inj_trans_road_pedest","Fracture of skull",11.56797
"inj_trans_road_other","Fracture of skull",.1991493
"inj_animal_nonven","Fracture of skull",.0949859
"inj_drowning","Fracture of skull",.0043342
"inj_foreign_other","Fracture of skull",.1016383
"inj_foreign_eye","Fracture of skull",.0461104
"inj_mech_gun","Fracture of skull",.160299
"inj_fires","Fracture of skull",.1740069
"inj_mech_other","Fracture of skull",2.405767
"inj_homicide_other","Fracture of sternum or rib(s)",.3815976
"inj_poisoning","Fracture of sternum or rib(s)",.0071731
"inj_drowning","Fracture of sternum or rib(s)",.0144785
"inj_trans_road_4wheel","Fracture of sternum or rib(s)",10.72293
"inj_trans_road_pedest","Fracture of sternum or rib(s)",.8721335
"inj_trans_other","Fracture of sternum or rib(s)",2.4459
"inj_trans_road_2wheel","Fracture of sternum or rib(s)",.297906
"inj_homicide_gun","Fracture of sternum or rib(s)",.0013164
"inj_mech_suffocate","Fracture of sternum or rib(s)",.0865343
"inj_foreign_eye","Fracture of sternum or rib(s)",.0014885
"inj_mech_gun","Fracture of sternum or rib(s)",.0417344
"inj_animal_nonven","Fracture of sternum or rib(s)",.0487143
"inj_trans_road_other","Fracture of sternum or rib(s)",.2861216
"inj_animal_venom","Fracture of sternum or rib(s)",.0014714
"inj_suicide","Fracture of sternum or rib(s)",.0050164
"inj_mech_other","Fracture of sternum or rib(s)",1.999437
"inj_trans_road_pedal","Fracture of sternum or rib(s)",2.927082
"inj_fires","Fracture of sternum or rib(s)",.0298818
"inj_othunintent","Fracture of sternum or rib(s)",7.227036
"inj_homicide_knife","Fracture of sternum or rib(s)",.0058853
"inj_falls","Fracture of sternum or rib(s)",14.44645
"inj_foreign_aspiration","Fracture of sternum or rib(s)",.0331068
"inj_foreign_other","Fracture of sternum or rib(s)",.0028467
"inj_trans_road_4wheel","Fracture of vertebral column",20.79398
"inj_homicide_knife","Fracture of vertebral column",.029229
"inj_trans_road_other","Fracture of vertebral column",.6821931
"inj_othunintent","Fracture of vertebral column",74.61363
"inj_trans_road_pedest","Fracture of vertebral column",17.94643
"inj_falls","Fracture of vertebral column",83.34853
"inj_homicide_gun","Fracture of vertebral column",.1723844
"inj_animal_nonven","Fracture of vertebral column",.088368
"inj_trans_road_2wheel","Fracture of vertebral column",1.374166
"inj_mech_suffocate","Fracture of vertebral column",.9239089
"inj_mech_gun","Fracture of vertebral column",.3304902
"inj_foreign_eye","Fracture of vertebral column",.0067601
"inj_foreign_aspiration","Fracture of vertebral column",.0942577
"inj_suicide","Fracture of vertebral column",.0768739
"inj_animal_venom","Fracture of vertebral column",.0146414
"inj_fires","Fracture of vertebral column",.6745645
"inj_trans_other","Fracture of vertebral column",3.805079
"inj_trans_road_pedal","Fracture of vertebral column",16.36111
"inj_poisoning","Fracture of vertebral column",.0264504
"inj_mech_other","Fracture of vertebral column",5.392131
"inj_foreign_other","Fracture of vertebral column",.0695218
"inj_drowning","Fracture of vertebral column",.0762993
"inj_homicide_other","Fracture of vertebral column",1.162182
"inj_foreign_eye","Fracture of femur, other than femoral neck",.0069414
"inj_homicide_other","Fracture of femur, other than femoral neck",2.512692
"inj_homicide_knife","Fracture of femur, other than femoral neck",.139634
"inj_foreign_aspiration","Fracture of femur, other than femoral neck",.2572534
"inj_othunintent","Fracture of femur, other than femoral neck",56.40103
"inj_trans_other","Fracture of femur, other than femoral neck",4.636797
"inj_falls","Fracture of femur, other than femoral neck",110.4257
"inj_animal_nonven","Fracture of femur, other than femoral neck",.3504745
"inj_fires","Fracture of femur, other than femoral neck",1.238164
"inj_mech_suffocate","Fracture of femur, other than femoral neck",.6654732
"inj_mech_other","Fracture of femur, other than femoral neck",12.50725
"inj_foreign_other","Fracture of femur, other than femoral neck",.0772803
"inj_trans_road_other","Fracture of femur, other than femoral neck",1.094182
"inj_trans_road_pedal","Fracture of femur, other than femoral neck",5.500591
"inj_trans_road_pedest","Fracture of femur, other than femoral neck",25.85442
"inj_animal_venom","Fracture of femur, other than femoral neck",.0607434
"inj_drowning","Fracture of femur, other than femoral neck",.21035
"inj_homicide_gun","Fracture of femur, other than femoral neck",.2785155
"inj_poisoning","Fracture of femur, other than femoral neck",.0590982
"inj_trans_road_2wheel","Fracture of femur, other than femoral neck",12.0457
"inj_suicide","Fracture of femur, other than femoral neck",.0635468
"inj_mech_gun","Fracture of femur, other than femoral neck",.883051
"inj_trans_road_4wheel","Fracture of femur, other than femoral neck",41.51973
"inj_mech_other","Minor traumatic brain injury",4.212094
"inj_trans_road_other","Minor traumatic brain injury",1.337252
"inj_trans_road_pedal","Minor traumatic brain injury",14.69517
"inj_poisoning","Minor traumatic brain injury",.05059
"inj_homicide_gun","Minor traumatic brain injury",.2230443
"inj_trans_road_4wheel","Minor traumatic brain injury",20.95539
"inj_trans_other","Minor traumatic brain injury",2.80662
"inj_mech_gun","Minor traumatic brain injury",.1131964
"inj_foreign_eye","Minor traumatic brain injury",.0092108
"inj_foreign_aspiration","Minor traumatic brain injury",.0295581
"inj_drowning","Minor traumatic brain injury",.1332344
"inj_homicide_knife","Minor traumatic brain injury",.086893
"inj_othunintent","Minor traumatic brain injury",10.85262
"inj_homicide_other","Minor traumatic brain injury",2.472492
"inj_animal_nonven","Minor traumatic brain injury",.1116017
"inj_fires","Minor traumatic brain injury",.3600264
"inj_trans_road_2wheel","Minor traumatic brain injury",3.987773
"inj_mech_suffocate","Minor traumatic brain injury",.3417268
"inj_suicide","Minor traumatic brain injury",.0335523
"inj_falls","Minor traumatic brain injury",10.79407
"inj_animal_venom","Minor traumatic brain injury",.0232735
"inj_foreign_other","Minor traumatic brain injury",.0605314
"inj_trans_road_pedest","Minor traumatic brain injury",18.54511
"inj_trans_road_4wheel","Moderate to severe traumatic brain injury",49.28045
"inj_fires","Moderate to severe traumatic brain injury",1.000514
"inj_trans_road_other","Moderate to severe traumatic brain injury",2.727998
"inj_trans_road_pedest","Moderate to severe traumatic brain injury",39.36206
"inj_homicide_gun","Moderate to severe traumatic brain injury",.1264998
"inj_trans_other","Moderate to severe traumatic brain injury",1.752348
"inj_foreign_other","Moderate to severe traumatic brain injury",.0467541
"inj_homicide_other","Moderate to severe traumatic brain injury",1.351694
"inj_mech_suffocate","Moderate to severe traumatic brain injury",.3124666
"inj_trans_road_pedal","Moderate to severe traumatic brain injury",15.35053
"inj_othunintent","Moderate to severe traumatic brain injury",3.501335
"inj_foreign_eye","Moderate to severe traumatic brain injury",.0832938
"inj_mech_gun","Moderate to severe traumatic brain injury",.1998821
"inj_foreign_aspiration","Moderate to severe traumatic brain injury",.0602892
"inj_falls","Moderate to severe traumatic brain injury",38.88721
"inj_poisoning","Moderate to severe traumatic brain injury",.096607
"inj_animal_venom","Moderate to severe traumatic brain injury",.0529679
"inj_suicide","Moderate to severe traumatic brain injury",.1434369
"inj_animal_nonven","Moderate to severe traumatic brain injury",.2498911
"inj_homicide_knife","Moderate to severe traumatic brain injury",.1036799
"inj_drowning","Moderate to severe traumatic brain injury",.2561235
"inj_trans_road_2wheel","Moderate to severe traumatic brain injury",13.82627
"inj_mech_other","Moderate to severe traumatic brain injury",3.035773
"inj_mech_other","Amputation of finger (excluding thumb)",8.453022
"inj_foreign_other","Amputation of finger (excluding thumb)",.1232177
"inj_animal_venom","Amputation of finger (excluding thumb)",.0229309
"inj_trans_road_other","Amputation of finger (excluding thumb)",.0328469
"inj_suicide","Amputation of finger (excluding thumb)",.0554699
"inj_homicide_knife","Amputation of finger (excluding thumb)",.0770331
"inj_drowning","Amputation of finger (excluding thumb)",.0479477
"inj_foreign_eye","Amputation of finger (excluding thumb)",.0002477
"inj_poisoning","Amputation of finger (excluding thumb)",.0062961
"inj_trans_road_4wheel","Amputation of finger (excluding thumb)",.7816542
